Nationality ,FIFA Ranking ,National Team Kit Sponsor,Position,National Team Jersey Number,Player DOB,Club ,Player Name , Appearances,Goals Scored ,Assists Provided ,Dribbles per 90,Interceptions per 90,Tackles per 90,Total Duels Won per 90,Save Percentage,Clean Sheets,Brand Sponsor/Brand Used
Argentina,2,Adidas,GK,23,2-Sep-92,Aston Villa,Emiliano Martinez,7,0,0,0,0,0,0.65,46.67%,43%,Adidas
Argentina,2,Adidas,GK,1,16-Oct-86,River,Franco Armani,0,-,-,-,-,-,-,-,-,Nike
Argentina,2,Adidas,GK,12,20-May-92,Villarreal,Geronimo Rulli,0,-,-,-,-,-,-,-,-,Adidas
Argentina,2,Adidas,DF,19,12-Feb-88,Benfica,Nicolas Otamendi,7,0,1,0.33,1.17,1.3,7.17,-,-,Nike
Argentina,2,Adidas,DF,8,28-Oct-91,Sevilla,Marcos Acuna,6,0,0,1.45,0.48,2.9,7.97,-,-,Nike
Argentina,2,Adidas,DF,3,31-Aug-92,Lyon,Nicolas Tagliafico,6,0,0,0.48,2.17,1.69,5.07,-,-,Nike
Argentina,2,Adidas,DF,6,27-Jun-91,Real Betis,German Pezzella,3,0,0,0,0,0,3.16,-,-,Nike
Argentina,2,Adidas,DF,26,6-Apr-98,Atletico Madrid,Nahuel Molina,7,1,1,0.32,0.47,1.42,1.58,-,-,Nike
Argentina,2,Adidas,DF,4,1-Jan-97,Sevilla,Gonzalo Montiel,4,0,0,0.77,0.77,2.31,5.39,-,-,NIke
Argentina,2,Adidas,DF,2,12-Jan-98,Villarreal,Juan Foyth,1,0,0,N.A,0,0,N.A,-,-,Adidas
Argentina,2,Adidas,DF,13,27-Apr-98,Tottenham,Cristian Romero,7,0,0,0.16,0.49,0.82,5.09,-,-,Nike
Argentina,2,Adidas,DF,25,18-Jan-98,Manchester United,Lisandro Martinez,5,0,0,0.3,0.9,1.5,4.19,-,-,Adidas
Argentina,2,Adidas,MF,5,29-Jun-94,Juventus,Leandro Paredes,5,0,0,0.4,1.21,4.02,9.24,-,-,Nike
Argentina,2,Adidas,MF,7,24-May-94,Atletico Madrid,Rodrigo De Paul,7,0,0,0.6,1.05,1.79,4.64,-,-,Adidas
Argentina,2,Adidas,MF,18,12-Apr-94,Real Betis,Guido Rodriguez,1,0,0,0,0,3.16,6.32,-,-,Adidas
Argentina,2,Adidas,MF,14,5-Oct-98,Bayer Leverkusen,Exequiel Palacios,3,0,0,0,3.83,1.91,7.66,-,-,Adidas
Argentina,2,Adidas,MF,20,24-Dec-98,Brighton,Alexis Mac Allister,6,1,1,0.97,0.49,1.46,5.85,-,-,Adidas
Argentina,2,Adidas,MF,24,17-Jan-01,Benfica,Enzo Fernandez,7,1,1,0.8,0.48,3.52,7.83,,-,Nike
Argentina,2,Adidas,MF,17,26-Apr-01,Atlanta United,Alejandro Gomez,2,0,0,0.83,0.83,1.65,8.26,-,-,Adidas
Argentina,2,Adidas,FW,10,24-Jun-87,PSG,Lionel Messi _Ÿêê,7,7,3,3.78,0,0.65,6.39,-,-,Adidas
Argentina,2,Adidas,FW,22,22-Aug-97,Inter,Lautaro Martinez,6,0,0,1.89,0.38,0,6.81,-,-,Nike
Argentina,2,Adidas,FW,21,15-Nov-93,Roma,Paulo Dybala,2,0,0,5.62,0,N.A,N.A,-,-,Adidas
Argentina,2,Adidas,FW,16,26-Apr-01,Inter,Thiago Almada,1,0,0,0,0,0,0,-,-,Adidas
Argentina,2,Adidas,FW,9,31-Jan-00,Manchester City,Julian Alvarez,7,4,0,0.58,0,0.77,1.93,,-,Adidas
